qid,text,options,answer,imgPath
1,What does PHP stand for?,Hypertext Preprocessor|High Performance Protocol|Home Page Handler|Hyper Process Handler,1,
2,Which framework is used for building web applications in Python?,Django|NumPy|Pandas|Matplotlib,1,
3,What is Git primarily used for?,Version Control|Database Management|Graphics Design|Network Management,1,
4,Which of the following is a NoSQL database?,MongoDB|MySQL|PostgreSQL|Oracle,1,
5,What does REST stand for?,Representational State Transfer|Remote State Transmission|Reliable State Transfer|Remote Service Technology,1,
6,How many bytes are in a kilobyte?,1024|1000|512|2048,1,
7,What is the main purpose of a firewall?,Network Security|Data Compression|File Storage|Graphics Rendering,1,
8,Which protocol is used for secure web communication?,HTTPS|HTTP|FTP|SMTP,1,
9,What is the default port for HTTP?,80|443|8080|3306,1,
10,Which of these is a machine learning framework?,TensorFlow|OpenGL|Apache|nginx,1,
